INFO: Best makespan -156734,37 in Generation 180

mai 26, 2022 7:28:12 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 181

mai 26, 2022 7:28:15 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 182

mai 26, 2022 7:28:19 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 183

mai 26, 2022 7:28:23 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 184

mai 26, 2022 7:28:27 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 185

mai 26, 2022 7:28:31 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 186

mai 26, 2022 7:28:34 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 187

mai 26, 2022 7:28:37 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 188

mai 26, 2022 7:28:40 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 189

mai 26, 2022 7:28:43 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 190

mai 26, 2022 7:28:47 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 191

mai 26, 2022 7:28:52 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 192

mai 26, 2022 7:28:55 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 193

mai 26, 2022 7:28:58 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 194

mai 26, 2022 7:29:01 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 195

mai 26, 2022 7:29:07 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 196

mai 26, 2022 7:29:12 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 197

mai 26, 2022 7:29:15 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 198

mai 26, 2022 7:29:19 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 199

mai 26, 2022 7:29:21 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 200

mai 26, 2022 7:29:28 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 201

mai 26, 2022 7:29:35 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 202

mai 26, 2022 7:29:44 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 203

mai 26, 2022 7:29:53 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 204

mai 26, 2022 7:30:01 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 205

mai 26, 2022 7:30:08 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 206

mai 26, 2022 7:30:15 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 207

mai 26, 2022 7:30:20 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 208

mai 26, 2022 7:30:24 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 209

